G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-18509.6884,-0.3583,145.711,0.0186762,0,-0.11447,-0.0187,0.01095,0,98.1876,290.4169312,15.461,17.175
-16422.0147,4.3108,85.6188,2.01559,0,-0.0296,-0.06201,0.03241,-0.06084,62.1294,217.2097015,13.826,15.245
-30521.1225,-127.8554,327.189,6.28674,-0.8503,0.22193,-0.55129,0.73205,-0.69724,274.3907,535.8725586,9.492,14.91
-29691.1652,28.234,351.537,3.88397,-1.46103,0.91702,-0.41907,0.42905,-1.46103,278.3474,579.3273926,11.42,15.427
-20915.534,49.1028,151.387,6.07147,-0.79033,-0.12957,-0.39971,0.53031,-0.62048,138.1256,295.538208,11.163,14.372
-22236.0669,-16.4192,206.05,8.62256,0,-0.22402,-0.2114,0.33007,-0.22459,189.2344,346.7327271,11.461,14.82
-26734.4477,-1065.3229,223.278,5.48115,-2.2366,0.6105,-0.76124,1.39029,-0.84631,182.1559,412.8551636,10.783,17.014
-23728.5106,70.8569,261.283,4.81216,-0.53253,0.90381,-0.53253,0.50758,-1.39619,198.3076,436.5383911,14.063,15.535
-20064.4754,-239.5581,131.064,0.892129,0,0.26137,-0.08346,0.34483,-0.26137,144.3877,255.1771545,10.941,18.658
-24554.95,45.8232,265.602,2.76217,-0.8469,0.84387,-0.47556,0.49763,-1.61834,218.2548,432.7621155,12.222,15.071
-30703.4085,-191.7895,376.117,5.82818,-1.97167,1.29556,-0.76954,1.99899,-1.80016,316.4176,577.2781372,10.206,14.901
-28902.441,-61.3206,342.103,8.79864,-1.54415,-0.40326,-0.77475,1.90557,-0.66066,312.404,533.2980957,10.378,14.469
-19312.9484,25.8439,133.681,5.56977,-0.50936,0.38605,-0.50936,0.39416,-0.79701,109.1274,277.9747314,11.95,14.357
-25564.9756,-8.6549,255.83,5.82087,-2.74235,-1.20452,-0.82498,1.94518,0.14744,267.3324,418.5163269,10.367,15.746
-28836.5544,57.5702,318.462,4.7063,-1.26285,0.27793,-0.39922,0.53234,-0.92616,314.1244,505.0493469,10.745,15.05
-20358.569,95.9728,145.246,4.18078,-0.4767,0.15225,-0.4767,0.4054,-0.81123,121.1384,301.1521912,12.338,14.459
-21962.158,54.3417,188.07,2.57443,0,0.03294,-0.25289,0.1252,-0.25289,134.6485,367.2807617,13.034,17.062
-26954.8647,-8.0559,287.773,5.32539,-1.21287,0.52989,-0.46987,0.36809,-1.80219,246.2652,465.104248,12.246,13.996
-24056.3473,141.5954,209.81,0.33216,-2.23296,0.6425,-0.38706,0.21889,-2.23296,182.173,360.1988831,14.83,16.197
-18341.0382,36.3526,125.437,3.11244,-0.36569,0.20104,-0.36569,0.26314,-0.36569,86.1334,279.8872375,12.873,16.178
